"date","hits","keyword","geo","time","gprop","category"
2025-02-02,"2","Trump","US","today+5-y","web",0
2025-02-09,"2","Trump","US","today+5-y","web",0
2025-02-16,"2","Trump","US","today+5-y","web",0
2025-02-23,"2","Trump","US","today+5-y","web",0
2025-03-02,"2","Trump","US","today+5-y","web",0
2025-03-09,"2","Trump","US","today+5-y","web",0
2025-03-16,"2","Trump","US","today+5-y","web",0
2025-03-23,"1","Trump","US","today+5-y","web",0
2025-03-30,"2","Trump","US","today+5-y","web",0
2025-04-06,"2","Trump","US","today+5-y","web",0
2025-04-13,"1","Trump","US","today+5-y","web",0
2025-04-20,"1","Trump","US","today+5-y","web",0
2025-04-27,"1","Trump","US","today+5-y","web",0
2025-05-04,"1","Trump","US","today+5-y","web",0
2025-05-11,"1","Trump","US","today+5-y","web",0
2025-05-18,"1","Trump","US","today+5-y","web",0
2025-05-25,"1","Trump","US","today+5-y","web",0
2025-06-01,"2","Trump","US","today+5-y","web",0
2025-06-08,"2","Trump","US","today+5-y","web",0
2025-06-15,"2","Trump","US","today+5-y","web",0
2025-06-22,"2","Trump","US","today+5-y","web",0
2025-06-29,"1","Trump","US","today+5-y","web",0
2025-07-06,"1","Trump","US","today+5-y","web",0
2025-07-13,"2","Trump","US","today+5-y","web",0
2025-07-20,"2","Trump","US","today+5-y","web",0
2025-07-27,"1","Trump","US","today+5-y","web",0
2025-08-03,"1","Trump","US","today+5-y","web",0
2025-08-10,"1","Trump","US","today+5-y","web",0
2025-08-17,"1","Trump","US","today+5-y","web",0
2025-08-24,"1","Trump","US","today+5-y","web",0
2025-08-31,"2","Trump","US","today+5-y","web",0
2025-09-07,"1","Trump","US","today+5-y","web",0
2025-09-14,"1","Trump","US","today+5-y","web",0
2020-09-13,"<1","Harris","US","today+5-y","web",0
2020-09-20,"<1","Harris","US","today+5-y","web",0
2020-09-27,"<1","Harris","US","today+5-y","web",0
2020-10-04,"1","Harris","US","today+5-y","web",0
2020-10-11,"1","Harris","US","today+5-y","web",0
2020-10-18,"<1","Harris","US","today+5-y","web",0
2020-10-25,"<1","Harris","US","today+5-y","web",0
2020-11-01,"1","Harris","US","today+5-y","web",0
2020-11-08,"1","Harris","US","today+5-y","web",0
2020-11-15,"<1","Harris","US","today+5-y","web",0
2020-11-22,"<1","Harris","US","today+5-y","web",0
2020-11-29,"<1","Harris","US","today+5-y","web",0
2020-12-06,"<1","Harris","US","today+5-y","web",0
2020-12-13,"<1","Harris","US","today+5-y","web",0
2020-12-20,"<1","Harris","US","today+5-y","web",0
2020-12-27,"<1","Harris","US","today+5-y","web",0
2021-01-03,"<1","Harris","US","today+5-y","web",0
2021-01-10,"<1","Harris","US","today+5-y","web",0
2021-01-17,"1","Harris","US","today+5-y","web",0
2021-01-24,"<1","Harris","US","today+5-y","web",0
2021-01-31,"<1","Harris","US","today+5-y","web",0
2021-02-07,"<1","Harris","US","today+5-y","web",0
2021-02-14,"<1","Harris","US","today+5-y","web",0
2021-02-21,"<1","Harris","US","today+5-y","web",0
2021-02-28,"<1","Harris","US","today+5-y","web",0
2021-03-07,"<1","Harris","US","today+5-y","web",0
2021-03-14,"<1","Harris","US","today+5-y","web",0
2021-03-21,"<1","Harris","US","today+5-y","web",0
2021-03-28,"<1","Harris","US","today+5-y","web",0
2021-04-04,"<1","Harris","US","today+5-y","web",0
2021-04-11,"<1","Harris","US","today+5-y","web",0
2021-04-18,"<1","Harris","US","today+5-y","web",0
2021-04-25,"<1","Harris","US","today+5-y","web",0
2021-05-02,"<1","Harris","US","today+5-y","web",0
2021-05-09,"<1","Harris","US","today+5-y","web",0
2021-05-16,"<1","Harris","US","today+5-y","web",0
2021-05-23,"<1","Harris","US","today+5-y","web",0
2021-05-30,"<1","Harris","US","today+5-y","web",0
2021-06-06,"<1","Harris","US","today+5-y","web",0
2021-06-13,"<1","Harris","US","today+5-y","web",0
2021-06-20,"<1","Harris","US","today+5-y","web",0
2021-06-27,"<1","Harris","US","today+5-y","web",0
2021-07-04,"<1","Harris","US","today+5-y","web",0
2021-07-11,"<1","Harris","US","today+5-y","web",0
2021-07-18,"<1","Harris","US","today+5-y","web",0
2021-07-25,"<1","Harris","US","today+5-y","web",0
2021-08-01,"<1","Harris","US","today+5-y","web",0
2021-08-08,"<1","Harris","US","today+5-y","web",0
2021-08-15,"<1","Harris","US","today+5-y","web",0
2021-08-22,"<1","Harris","US","today+5-y","web",0
2021-08-29,"<1","Harris","US","today+5-y","web",0
2021-09-05,"<1","Harris","US","today+5-y","web",0
2021-09-12,"<1","Harris","US","today+5-y","web",0
2021-09-19,"<1","Harris","US","today+5-y","web",0
2021-09-26,"<1","Harris","US","today+5-y","web",0
2021-10-03,"<1","Harris","US","today+5-y","web",0
2021-10-10,"<1","Harris","US","today+5-y","web",0
2021-10-17,"<1","Harris","US","today+5-y","web",0
2021-10-24,"<1","Harris","US","today+5-y","web",0
2021-10-31,"<1","Harris","US","today+5-y","web",0
2021-11-07,"<1","Harris","US","today+5-y","web",0
2021-11-14,"<1","Harris","US","today+5-y","web",0
2021-11-21,"<1","Harris","US","today+5-y","web",0
2021-11-28,"<1","Harris","US","today+5-y","web",0
2021-12-05,"<1","Harris","US","today+5-y","web",0
