"date","hits","keyword","geo","time","gprop","category"
2021-12-12,"<1","Harris","US","today+5-y","web",0
2021-12-19,"<1","Harris","US","today+5-y","web",0
2021-12-26,"<1","Harris","US","today+5-y","web",0
2022-01-02,"<1","Harris","US","today+5-y","web",0
2022-01-09,"<1","Harris","US","today+5-y","web",0
2022-01-16,"<1","Harris","US","today+5-y","web",0
2022-01-23,"<1","Harris","US","today+5-y","web",0
2022-01-30,"<1","Harris","US","today+5-y","web",0
2022-02-06,"<1","Harris","US","today+5-y","web",0
2022-02-13,"<1","Harris","US","today+5-y","web",0
2022-02-20,"<1","Harris","US","today+5-y","web",0
2022-02-27,"<1","Harris","US","today+5-y","web",0
2022-03-06,"<1","Harris","US","today+5-y","web",0
2022-03-13,"<1","Harris","US","today+5-y","web",0
2022-03-20,"<1","Harris","US","today+5-y","web",0
2022-03-27,"<1","Harris","US","today+5-y","web",0
2022-04-03,"<1","Harris","US","today+5-y","web",0
2022-04-10,"<1","Harris","US","today+5-y","web",0
2022-04-17,"<1","Harris","US","today+5-y","web",0
2022-04-24,"<1","Harris","US","today+5-y","web",0
2022-05-01,"<1","Harris","US","today+5-y","web",0
2022-05-08,"<1","Harris","US","today+5-y","web",0
2022-05-15,"<1","Harris","US","today+5-y","web",0
2022-05-22,"<1","Harris","US","today+5-y","web",0
2022-05-29,"<1","Harris","US","today+5-y","web",0
2022-06-05,"<1","Harris","US","today+5-y","web",0
2022-06-12,"<1","Harris","US","today+5-y","web",0
2022-06-19,"<1","Harris","US","today+5-y","web",0
2022-06-26,"<1","Harris","US","today+5-y","web",0
2022-07-03,"<1","Harris","US","today+5-y","web",0
2022-07-10,"<1","Harris","US","today+5-y","web",0
2022-07-17,"<1","Harris","US","today+5-y","web",0
2022-07-24,"<1","Harris","US","today+5-y","web",0
2022-07-31,"<1","Harris","US","today+5-y","web",0
2022-08-07,"<1","Harris","US","today+5-y","web",0
2022-08-14,"<1","Harris","US","today+5-y","web",0
2022-08-21,"<1","Harris","US","today+5-y","web",0
2022-08-28,"<1","Harris","US","today+5-y","web",0
2022-09-04,"<1","Harris","US","today+5-y","web",0
2022-09-11,"<1","Harris","US","today+5-y","web",0
2022-09-18,"<1","Harris","US","today+5-y","web",0
2022-09-25,"<1","Harris","US","today+5-y","web",0
2022-10-02,"<1","Harris","US","today+5-y","web",0
