"Rank","Country","Forexres","Date","Change","Sources","NA","NA","newdate"
"Country(as recognized by the U.N.)","Continent","Including gold","Including gold","Excluding gold","Excluding gold","Last reporteddate","Ref.","Including gold"
"Country(as recognized by the U.N.)","Continent","millions U.S.$","Change","millions U.S.$","Change","Last reporteddate","Ref.","Change"
"Latvia","Europe","3,913","13","—","—","1 Mar 2024","[107]","13"
"Uganda","Africa","3,700","259","—","—","1 Mar 2024","[108]","259"
"Andorra","Europe","3,689","11","—","—","20 Mar 2024","[109]","11"
"Brunei","Asia","3,664","107","—","—","1 Mar 2024","[110]","107"
"Cameroon","Africa","3,459","180","—","—","1 Mar 2024","[111]","180"
"Ethiopia","Africa","3,430","170","—","—","1 Mar 2024","[112]","170"
"Ghana","Africa","3,368","452","—","—","1 Mar 2024","[113]","452"
"Ecuador","Americas","3,305","747","—","—","1 Mar 2024","[114]","747"
"Kyrgyzstan","Asia","2,976","193","—","—","1 Mar 2024","[115]","193"
"Croatia","Europe","2,935","159","—","—","1 Mar 2024","[116]","159"
"Slovenia","Europe","2,519","62","—","—","1 Mar 2024","[117]","62"
"El Salvador","Americas","2,510","39","—","—","1 Mar 2024","[118]","39"
"Cuba","Americas","2,500","10,391","—","—","15 Mar 2024","[119]","10,391"
"Kenya","Africa","2,490","1,073","—","—","5 Mar 2024","[120]","1,073"
"Papua New Guinea","Oceania","2,339","500","—","—","1 Mar 2024","[121]","500"
"Haiti","Americas","2,296","1,256","—","—","1 Mar 2024","[122]","1,256"
"Estonia","Europe","2,065","145","—","—","1 Mar 2024","[123]","145"
"Namibia","Africa","2,019","25","—","—","1 Mar 2024","[124]","25"
"Bahamas","Americas","1,758","85","—","—","1 Mar 2024","[125]","85"
"Bolivia","Americas","1,769","471","—","—","1 Mar 2024","[126]","471"
"Madagascar","Africa","1,620","127","—","—","19 Mar 2024","[127]","127"
"Montenegro","Europe","1,558","26","—","—","1 Mar 2024","[128]","26"
"Mauritania","Africa","1,493","37","—","—","1 Mar 2024","[129]","37"
"Tajikistan","Asia","1,482","19","—","—","1 Mar 2024","[130]","19"
"Rwanda","Africa","1,458","7","—","—","1 Mar 2024","[131]","7"
"Zambia","Africa","1,433","16","—","—","1 Mar 2024","[132]","16"
"Guinea","Africa","1,425","33","—","—","15 Mar 2024","[133]","33"
"Gabon","Africa","1,377","90","—","—","1 Mar 2024","[134]","90"
"Cyprus","Asia","1,271","200","—","—","1 Mar 2024","[135]","200"
"Luxembourg","Europe","1,119","34","—","—","5 Mar 2024","[136]","34"
"Laos","Asia","1,099","23","—","—","1 Mar 2024","[137]","23"
"Curaçao","Americas","1,080","30","—","—","20 Mar 2024","[138]","30"
"Fiji","Oceania","1,065","22","—","—","5 Mar 2024","[139]","22"
"Niger","Africa","1,053","24","—","—","1 Mar 2024","[140]","24"
"Aruba","Americas","1,017","30","—","—","15 Mar 2024","[141]","30"
"Bhutan","Asia","972","3","—","—","10 Mar 2024","[142]","3"
"Kosovo","Europe","950","15","—","—","1 Mar 2024","[143]","15"
"Malta","Europe","937","9","—","—","20 Mar 2024","[144]","9"
"Lesotho","Africa","785","11","—","—","1 Mar 2024","[145]","11"
"Barbados","Americas","770","2","—","—","1 Mar 2024","[146]","2"
"San Marino","Europe","716","243","—","—","1 Mar 2024","[147]","243"
"Cape Verde","Africa","712","25","—","—","1 Mar 2024","[148]","25"
"Gambia","Africa","698","6","—","—","1 Mar 2024","[149]","6"
"Palestine","Asia","671","12","—","—","1 Mar 2024","[150]","12"
"Timor-Leste","Asia","654","2","—","—","1 Mar 2024","[151]","2"
"Suriname","Americas","647","30","—","—","8 Mar 2024","[152]","30"
"Sierra Leone","Africa","624","2","—","—","2 Mar 2024","[153]","2"
"Mali","Africa","604","19","—","—","1 Mar 2024","[154]","19"
"Maldives","Asia","588","180","—","—","1 Mar 2024","[155]","180"
"Guyana","Americas","553","20","—","—","10 Mar 2024","[156]","20"
"Solomon Islands","Oceania","551","24","—","—","8 Mar 2024","[157]","24"
"Seychelles","Africa","546","19","—","—","1 Mar 2024","[158]","19"
"Vanuatu","Oceania","509","2","—","—","1 Mar 2024","[159]","2"
"Democratic Republic of the Congo","Africa","505","160","—","—","14 Mar 2024","[160]","160"
"Djibouti","Africa","504","3","—","—","1 Mar 2024","[161]","3"
"Malawi","Africa","488","17","—","—","1 Mar 2024","[162]","17"
"Eswatini","Africa","467","27","—","—","1 Mar 2024","[163]","27"
"Afghanistan","Asia","443","32","—","—","1 Oct 2024","[164]","32"
"Republic of the Congo","Africa","443","20","—","—","1 Mar 2024","[165]","20"
"Syria","Asia","401","16","—","—","1 Mar 2024","[166]","16"
"Federated States of Micronesia","Oceania","395","2","—","—","1 Mar 2024","[167]","2"
"Central African Republic","Africa","375","14","—","—","1 Mar 2024","[168]","14"
"Saint Kitts and Nevis","Americas","365","14","—","—","1 Mar 2024","[169]","14"
"Liberia","Africa","342","7","—","—","1 Mar 2024","[170]","7"
"Guinea-Bissau","Africa","329","3","—","—","1 Mar 2024","[171]","3"
"Antigua and Barbuda","Americas","285","6","—","—","1 Mar 2024","[172]","6"
"Belize","Americas","281","4","—","—","1 Mar 2024","[173]","4"
"Saint Lucia","Americas","258","2","—","—","1 Mar 2024","[174]","2"
"Yemen","Asia","250","5","—","—","1 Mar 2024","[175]","5"
"Grenada","Americas","247","11","—","—","1 Mar 2024","[176]","11"
"Tonga","Oceania","226","3","—","—","1 Mar 2024","[177]","3"
"Togo","Africa","208","7","—","—","1 Mar 2024","[178]","7"
"Comoros","Africa","197","5","—","—","1 Mar 2024","[179]","5"
"Saint Vincent and the Grenadines","Americas","192","1","—","—","1 Mar 2024","[180]","1"
"Eritrea","Africa","189","2","—","—","1 Mar 2024","[181]","2"
"Samoa","Oceania","188","3","—","—","1 Mar 2024","[182]","3"
"São Tomé and Príncipe","Africa","186","2","—","—","1 Mar 2024","[183]","2"
"Sudan","Africa","172","5","—","—","1 Mar 2024","[184]","5"
"Dominica","Americas","168","6","—","—","1 Mar 2024","[185]","6"
"Senegal","Africa","164","12","—","—","1 Mar 2024","[186]","12"
"Zimbabwe","Africa","159","8","—","—","1 Mar 2024","[187]","8"
"Chad","Africa","143","4","—","—","1 Mar 2024","[188]","4"
"Burundi","Africa","105","6","—","—","1 Mar 2024","[189]","6"
"South Sudan","Africa","80","7","—","—","2 Mar 2024","[190]","7"
"Benin","Africa","69","9","—","—","1 Mar 2024","[191]","9"
"Montserrat","Americas","54","5","—","—","1 Mar 2024","[192]","5"
"Equatorial Guinea","Africa","46","2","—","—","1 Mar 2024","[193]","2"
"Burkina Faso","Africa","42","3","—","—","1 Mar 2024","[194]","3"
"Somalia","Africa","37","5","—","—","1 Mar 2024","[195]","5"
"Kiribati","Oceania","8","2","—","—","1 Mar 2024","[196]","2"
"Mozambique","Africa","4","0.8","—","—","31 Jul 2025","[197]","0.8"
"North Macedonia","Europe","4","0.1","—","—","31 Aug 2025","[198]","0.1"
